company,job title,Remote?,location,state,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,description_len,company_age
Sunixa Solution,Sr. Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,Senior,337,
Booz Allen Hamilton,Data Analyst,No,Rome, NY,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),1,4.2,1,0,0,0,0,1,data analyst,mid,326,108
Fabletics,Data Analyst,No,California,,Unknown,Private,Information Technology,Internet & Web Services,2013,Unknown / Non-Applicable,0,4.3,0,0,0,0,0,0,data analyst,Senior,655,9
Baked By Melissa,Junior Data Analyst,No,New York, NY,Small,Private,Retail & Wholesale,Food & Beverage Stores,2008,Unknown / Non-Applicable,0,3.1,0,0,0,0,1,0,data analyst,junior,292,14
Ingress IT Solution,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,0,0,0,0,data analyst,mid,52,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,401,79
Crumbl Cookies,Data Analyst,No,Lindon, UT,Small,Franchise,Restaurants & Food Service,Restaurants & Cafes,2017,Unknown / Non-Applicable,0,4.6,1,0,0,0,1,0,data analyst,Senior,528,5
Sunixa Solution,"Role: Data Analyst, Location: Remote, Duration: Long Term",Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,junior,248,
Trident United Way,Data Analyst,No,North Charleston, SC,Small,Nonprofit Organization,Nonprofit & NGO,Grantmaking & Charitable Foundations,1887,$1 to $5 billion (USD),0,3.8,0,0,0,0,1,0,data analyst,Senior,780,135
Hudson Technologies Inc,Data Analyst,No,Woodcliff Lake, NJ,Small,Public,Management & Consulting,Building & Personnel Services,,$100 to $500 million (USD),0,3.2,0,0,0,0,1,0,data analyst,Senior,310,
Arizona State University,Data Analyst,No,Scottsdale, AZ,Large,College / University,Education,Colleges & Universities,1885,$1 to $5 billion (USD),1,4.2,1,0,1,1,1,0,data analyst,Senior,815,137
Deloitte,Data Analyst,No,Lake Mary, FL,Large,Private,Financial Services,Accounting & Tax,1850,$10+ billion (USD),0,4,1,0,0,0,1,1,data analyst,Senior,921,172
North Carolina State University,UTS - 80% Remote Data Analyst at UNC CH,No,Chapel Hill, NC,Medium,College / University,Education,Colleges & Universities,1887,$500 million to $1 billion (USD),1,4.3,0,0,0,0,0,0,data analyst,Senior,143,135
"Altec Industries, Inc.",Inventory Data Analyst,No,Saint Joseph, MO,Medium,Private,Manufacturing,Machinery Manufacturing,1929,$500 million to $1 billion (USD),0,3.9,0,0,0,0,0,0,data analyst,Senior,246,93
DataEdge Usa,Data Analyst,Yes,Remote,,Small,Private,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable,1,4.4,0,0,0,0,1,0,data analyst,mid,181,10
The University of Chicago,Data Analyst,No,Chicago, IL,Large,College / University,Education,Colleges & Universities,1890,$1 to $5 billion (USD),0,4.2,0,0,0,0,1,0,data analyst,Senior,895,132
Boqueria,Data Analyst,No,New York, NY,Small,Private,Restaurants & Food Service,Restaurants & Cafes,2006,Unknown / Non-Applicable,0,3.9,1,0,0,0,1,0,data analyst,mid,319,16
Choice ,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,0,0,1,0,data analyst,junior,150,
The New York City Post LL,Data Analyst,Yes,Remote,,,,,,,,0,,1,0,0,0,0,0,data analyst,mid,56,
Times Square Tec,Healthcare Data Analyst,Yes,Remote,,Unknown,Private,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,mid,139,
Net2Aspir,Healthcare Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,0,data analyst,mid,121,
Wambi,Data Analyst - REMOTE,No,Philadelphia, PA,Small,Private,Healthcare,Health Care Services & Hospitals,2016,Unknown / Non-Applicable,0,4.8,0,0,0,0,1,0,data analyst,Senior,656,6
Tekwissenll,CAP Data Analyst,No,Oakland, CA,,,,,,,1,,0,0,0,0,1,0,data analyst,Senior,511,
OhioHealth,EMPI Data Analyst,No,Columbus, OH,Large,Nonprofit Organization,Healthcare,Health Care Services & Hospitals,1891,$1 to $5 billion (USD),0,3.7,0,0,0,0,1,0,data analyst,junior,381,131
Barclays,Lead Data Analyst,No,Whippany, NJ,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,0,0,0,0,1,0,data analyst,Senior,462,332
Lumin Globa,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,1,0,0,0,data analyst,mid,64,
Silent Falcon UAS Technologies,Data Analyst,No,Front Royal, VA,Small,Private,Aerospace & Defense,Aerospace & Defense,,Unknown / Non-Applicable,0,3.6,0,0,0,0,1,0,data analyst,Senior,158,
Leading Edge Skill,Data Analyst - Testing Support,Yes,Remote,,,,,,,,1,,0,0,0,0,0,0,data analyst,Senior,412,
Net2Aspir,Jr. Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,0,data analyst,junior,116,
Sunixa Solution,Sr. Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,Senior,337,
Booz Allen Hamilton,Data Analyst,No,Rome, NY,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),1,4.2,1,0,0,0,0,1,data analyst,mid,326,108
Fabletics,Data Analyst,No,California,,Unknown,Private,Information Technology,Internet & Web Services,2013,Unknown / Non-Applicable,0,4.3,0,0,0,0,0,0,data analyst,Senior,657,9
Baked By Melissa,Junior Data Analyst,No,New York, NY,Small,Private,Retail & Wholesale,Food & Beverage Stores,2008,Unknown / Non-Applicable,0,3.1,0,0,0,0,1,0,data analyst,junior,292,14
Ingress IT Solution,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,0,0,0,0,data analyst,mid,52,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
Crumbl Cookies,Data Analyst,No,Lindon, UT,Small,Franchise,Restaurants & Food Service,Restaurants & Cafes,2017,Unknown / Non-Applicable,0,4.6,1,0,0,0,1,0,data analyst,Senior,528,5
Sunixa Solution,"Role: Data Analyst, Location: Remote, Duration: Long Term",Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,junior,248,
Trident United Way,Data Analyst,No,North Charleston, SC,Small,Nonprofit Organization,Nonprofit & NGO,Grantmaking & Charitable Foundations,1887,$1 to $5 billion (USD),0,3.8,0,0,0,0,1,0,data analyst,Senior,780,135
Hudson Technologies Inc,Data Analyst,No,Woodcliff Lake, NJ,Small,Public,Management & Consulting,Building & Personnel Services,,$100 to $500 million (USD),0,3.2,0,0,0,0,1,0,data analyst,Senior,310,
Arizona State University,Data Analyst,No,Scottsdale, AZ,Large,College / University,Education,Colleges & Universities,1885,$1 to $5 billion (USD),1,4.2,1,0,1,1,1,0,data analyst,Senior,815,137
Deloitte,Data Analyst,No,Lake Mary, FL,Large,Private,Financial Services,Accounting & Tax,1850,$10+ billion (USD),0,4,1,0,0,0,1,1,data analyst,Senior,921,172
North Carolina State University,UTS - 80% Remote Data Analyst at UNC CH,No,Chapel Hill, NC,Medium,College / University,Education,Colleges & Universities,1887,$500 million to $1 billion (USD),1,4.3,0,0,0,0,0,0,data analyst,Senior,143,135
"Altec Industries, Inc.",Inventory Data Analyst,No,Saint Joseph, MO,Medium,Private,Manufacturing,Machinery Manufacturing,1929,$500 million to $1 billion (USD),0,3.9,0,0,0,0,0,0,data analyst,Senior,246,93
DataEdge Usa,Data Analyst,Yes,Remote,,Small,Private,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable,1,4.4,0,0,0,0,1,0,data analyst,mid,181,10
The University of Chicago,Data Analyst,No,Chicago, IL,Large,College / University,Education,Colleges & Universities,1890,$1 to $5 billion (USD),0,4.2,0,0,0,0,1,0,data analyst,Senior,895,132
Boqueria,Data Analyst,No,New York, NY,Small,Private,Restaurants & Food Service,Restaurants & Cafes,2006,Unknown / Non-Applicable,0,3.9,1,0,0,0,1,0,data analyst,mid,319,16
Choice ,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,0,0,1,0,data analyst,junior,150,
The New York City Post LL,Data Analyst,Yes,Remote,,,,,,,,0,,1,0,0,0,0,0,data analyst,mid,56,
Times Square Tec,Healthcare Data Analyst,Yes,Remote,,Unknown,Private,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,mid,139,
Net2Aspir,Healthcare Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,0,data analyst,mid,121,
Wambi,Data Analyst - REMOTE,No,Philadelphia, PA,Small,Private,Healthcare,Health Care Services & Hospitals,2016,Unknown / Non-Applicable,0,4.8,0,0,0,0,1,0,data analyst,Senior,656,6
Tekwissenll,CAP Data Analyst,No,Oakland, CA,,,,,,,1,,0,0,0,0,1,0,data analyst,Senior,511,
Tekwissenll,CAP Data Analyst,No,Oakland, CA,,,,,,,1,,0,0,0,0,1,0,data analyst,Senior,511,
Barclays,Lead Data Analyst,No,Whippany, NJ,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,0,0,0,0,1,0,data analyst,Senior,462,332
Lumin Globa,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,1,0,0,0,data analyst,mid,64,
Silent Falcon UAS Technologies,Data Analyst,No,Front Royal, VA,Small,Private,Aerospace & Defense,Aerospace & Defense,,Unknown / Non-Applicable,0,3.6,0,0,0,0,1,0,data analyst,Senior,158,
Leading Edge Skill,Data Analyst - Testing Support,Yes,Remote,,,,,,,,1,,0,0,0,0,0,0,data analyst,Senior,412,
Net2Aspir,Jr. Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,0,data analyst,junior,116,
Sunixa Solution,Sr. Data Analyst,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,Senior,337,
Booz Allen Hamilton,Data Analyst,No,Rome, NY,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),1,4.2,1,0,0,0,0,1,data analyst,mid,328,108
Fabletics,Data Analyst,No,California,,Unknown,Private,Information Technology,Internet & Web Services,2013,Unknown / Non-Applicable,0,4.3,0,0,0,0,0,0,data analyst,Senior,657,9
Baked By Melissa,Junior Data Analyst,No,New York, NY,Small,Private,Retail & Wholesale,Food & Beverage Stores,2008,Unknown / Non-Applicable,0,3.1,0,0,0,0,1,0,data analyst,junior,292,14
Ingress IT Solution,Data Analyst,Yes,Remote,,,,,,,,1,,0,0,0,0,0,0,data analyst,mid,52,
IKEA,Data Analyst,No,Conshohocken, PA,Large,Private,Retail & Wholesale,Home Furniture & Housewares Stores,1943,Unknown / Non-Applicable,0,3.7,0,0,0,0,0,0,data analyst,Senior,403,79
Crumbl Cookies,Data Analyst,No,Lindon, UT,Small,Franchise,Restaurants & Food Service,Restaurants & Cafes,2017,Unknown / Non-Applicable,0,4.6,1,0,0,0,1,0,data analyst,Senior,526,5
Sunixa Solution,"Role: Data Analyst, Location: Remote, Duration: Long Term",Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,0,data analyst,junior,248,
Trident United Way,Data Analyst,No,North Charleston, SC,Small,Nonprofit Organization,Nonprofit & NGO,Grantmaking & Charitable Foundations,1887,$1 to $5 billion (USD),0,3.8,0,0,0,0,1,0,data analyst,Senior,780,135
Hudson Technologies Inc,Data Analyst,No,Woodcliff Lake, NJ,Small,Public,Management & Consulting,Building & Personnel Services,,$100 to $500 million (USD),0,3.2,0,0,0,0,1,0,data analyst,Senior,310,
AstraZeneca Pharmaceuticals Inc,Intenships in Machine Learning Research,No,Gaithersburg, MD,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1913,$10+ billion (USD),0,4.2,0,0,0,0,0,1,machine learning engineer,mid,126,109
Toyota Research Institute,Machine Learning Research Scientist - Natural Language Processing,No,Los Altos, CA,Small,Subsidiary or Business Segment,Management & Consulting,Research & Development,2016,Unknown / Non-Applicable,0,4.3,1,0,0,0,0,1,machine learning engineer,Senior,471,6
MIT Lincoln Laboratory,Machine Learning Software Developer,No,Lexington, MA,Medium,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,1951,Unknown / Non-Applicable,0,4.3,1,0,0,0,0,1,machine learning engineer,mid,290,71
Locus Robotics,"Data Scientist, Machine Learning",No,Wilmington, MA,Small,Private,Information Technology,Computer Hardware Development,2015,Unknown / Non-Applicable,0,5,1,0,1,1,1,1,data scientist,Senior,331,7
MIT Lincoln Laboratory,Associate Staff - Machine Learning Algorithm Developer,No,Lexington, MA,Medium,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,1951,Unknown / Non-Applicable,0,4.3,1,0,0,0,0,1,machine learning engineer,junior,378,71
National Renewable Energy Laboratory,Postdoctoral Researcher – Molecular Modeling and Machine Learning for Plant Biopolymers,No,Golden, CO,Medium,Government,"Energy, Mining & Utilities",Energy & Utilities,1978,Unknown / Non-Applicable,0,3.9,1,0,0,1,0,1,machine learning engineer,Senior,1017,44
Pfizer,Machine Learning Research Scientist,No,Cambridge, MA,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1849,$10+ billion (USD),0,4.1,1,0,0,1,1,1,machine learning engineer,mid,622,173
I28 Technologies,Entry Level Data Scientist - Machine Learning Algorithms - 333322,No,Wellston, OH,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,0,0,0,0,0,0,data scientist,junior,105,
Teamflo,Machine Learning,Yes,Remote,,,,,,,,0,,0,0,0,1,0,1,machine learning engineer,Senior,234,
TikTok,"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)",No,Mountain View, CA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.6,1,0,0,0,0,1,data engineer,Senior,609,6
Booz Allen Hamilton,Machine Learning Data Scientist,No,Alexandria, VA,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,1,1,0,1,data scientist,Senior,612,108
eBay Inc.,Machine Learning Applied Researcher,No,New York, NY,Large,Public,Information Technology,Internet & Web Services,1995,$10+ billion (USD),0,4.2,1,0,0,0,1,1,machine learning engineer,Senior,780,27
Amazon.com Services LLC,Postdoctoral Scientist - Machine Learning,No,Seattle, WA,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,0,0,0,1,0,1,machine learning engineer,Senior,447,28
I28 Technologies,Entry Level Data Science Specialist,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,1,1,other,junior,73,
Sunixa Solution,Machine Learning Engineer LEAD,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,0,0,1,1,machine learning engineer,Senior,165,
Modern Intelligenc,Machine Learning Research Assistant,No,Austin, TX,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,1,1,machine learning engineer,mid,519,
GRI,Machine Learning Engineer,Yes,Remote,,,,,,,,0,,0,0,0,0,1,1,machine learning engineer,mid,397,
Argonne National Laboratory,Postdoctoral Appointee - Probabilistic Machine Learning,No,Lemont, IL,Medium,Government,Management & Consulting,Research & Development,1946,Unknown / Non-Applicable,0,4.5,0,0,0,0,0,1,machine learning engineer,Senior,506,76
Bose,Machine Learning Research Engineer,No,Framingham, MA,Medium,Private,Manufacturing,Consumer Product Manufacturing,1964,$1 to $5 billion (USD),0,3.8,1,0,0,0,0,1,machine learning engineer,junior,333,58
Morgan Stanley,Machine Learning Researcher,No,New York, NY,Large,Public,Financial Services,Investment & Asset Management,1935,$10+ billion (USD),0,4,1,0,0,0,1,1,machine learning engineer,Senior,354,87
CVS Health,"Senior Machine Learning Engineer ( Python , ML , DE , GCP ) - REMOTE",No,Connecticut,,Large,Public,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),0,3.1,1,0,0,1,0,1,machine learning engineer,Senior,554,59
Albet Technologies LL,Data Engineer with Machine learning Exp.,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,1,0,0,0,1,data engineer,mid,137,
I28 Technologies,Entry Level Machine Learning Engineer - 333316,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,0,1,machine learning engineer,junior,104,
Colossal Biosciences,"Graduate Research Fellow, Machine Learning – Summer 2023",No,Dallas, TX,Small,Private,,,,Unknown / Non-Applicable,0,4.8,1,0,0,0,0,1,machine learning engineer,Senior,376,
precision technologies corp,Jr UI/UX Designer Training and Placement,Yes,Remote,,Small,Private,Information Technology,Information Technology Support Services,2008,$5 to $25 million (USD),1,4.2,1,0,0,1,1,1,other,junior,391,14
Hunter Engineering,Data Science Co-Op,No,Bridgeton, MO,Medium,Private,Manufacturing,Machinery Manufacturing,1946,$500 million to $1 billion (USD),0,4.4,1,0,0,0,1,1,other,Senior,303,76
Lawrence Livermore National Laboratory,Machine Learning Research Scientist - Postdoctoral Researcher,No,Livermore, CA,Medium,Government,Government & Public Administration,National Agencies,1952,$1 to $5 billion (USD),0,4.4,1,0,0,1,0,1,machine learning engineer,Senior,621,70
NOKIA,Bell Labs Machine Learning Researcher,No,Murray Hill, NJ,Large,Public,Telecommunications,Telecommunications Services,1865,$10+ billion (USD),0,4.2,1,0,0,0,0,1,machine learning engineer,Senior,389,157
YouTube,"Staff Software Engineer, Machine Learning, YouTube",No,San Bruno, CA,Medium,Subsidiary or Business Segment,Information Technology,Internet & Web Services,2005,Unknown / Non-Applicable,0,4.3,0,0,0,0,0,1,machine learning engineer,Senior,498,17
Apexon,Python Developer,Yes,Remote,,Medium,Private,Information Technology,Information Technology Support Services,1996,Unknown / Non-Applicable,1,4.1,1,0,0,0,0,1,other,mid,186,26
"BEN Group, Inc",Data Scientist (Level I - II),No,Provo, UT,Small,Private,Media & Communication,Advertising & Public Relations,2014,$25 to $100 million (USD),0,3.5,1,0,0,0,1,1,data scientist,Senior,584,8
Bill & Melinda Gates Foundation,"Program Officer, Digital Learning Research & Development",No,Seattle, WA,Medium,Nonprofit Organization,Nonprofit & NGO,Grantmaking & Charitable Foundations,2000,Less than $1 million (USD),0,3.9,0,0,0,1,1,1,other,Senior,975,22
Braintrust,Machine Learning Engineer,No,San Francisco, CA,Unknown,Private,Management & Consulting,Business Consulting,2018,$5 to $25 million (USD),1,4.6,1,1,0,0,0,1,machine learning engineer,Senior,520,4
Netflix,Research Scientist (L5) - Product Machine Learning Research,No,Los Gatos, CA,Medium,Public,Information Technology,Internet & Web Services,1997,$5 to $10 billion (USD),0,4.3,0,0,0,0,0,1,machine learning engineer,Senior,416,25
Tesla,"Machine Learning Scientist, Autopilot AI",No,Palo Alto, CA,Large,Public,Manufacturing,Transportation Equipment Manufacturing,2003,$1 to $5 billion (USD),0,3.6,1,0,0,0,0,1,machine learning engineer,mid,242,19
National Renewable Energy Laboratory,Postdoc: AI for Clean Energy,No,Golden, CO,Medium,Government,"Energy, Mining & Utilities",Energy & Utilities,1978,Unknown / Non-Applicable,0,3.9,1,0,0,1,0,1,other,Senior,764,44
Microsoft,Post Doc Researcher - Machine Learning and Reinforcement Learning - Microsoft Research,No,New York, NY,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,0,0,0,1,0,1,machine learning engineer,Senior,818,47
Analog Devices,Machine Learning Scientist,No,Boston, MA,Large,Public,Manufacturing,Electronics Manufacturing,1965,$10+ billion (USD),0,4.1,0,0,0,0,0,1,machine learning engineer,Senior,387,57
Dianthus,Machine Learning Research Engineer,No,Boston, MA,Unknown,Private,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,0,3.3,1,0,0,1,0,1,machine learning engineer,Senior,228,
SC,Machine Learning Engineer,No,West Columbia, SC,Small,Public,,,,Unknown / Non-Applicable,0,,1,0,0,0,1,1,machine learning engineer,mid,393,
"Rich & Assoc., Inc",Azure/Applied Artificial Intelligence/Machine Learning Consultant,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,0,0,1,1,0,1,machine learning engineer,Senior,151,
Expedition Technology Inc,Machine Learning Operations Engineer,No,Washington, VA,Small,Private,Aerospace & Defense,Aerospace & Defense,2013,$5 to $25 million (USD),0,4.8,1,0,0,1,0,1,machine learning engineer,Senior,610,9
Argonne National Laboratory,Postdoctoral Appointee - Machine Learning for Computational X-Ray Science,No,Lemont, IL,Medium,Government,Management & Consulting,Research & Development,1946,Unknown / Non-Applicable,0,4.5,1,0,0,0,0,1,machine learning engineer,mid,401,76
Etsy,"Staff Software Engineer I, Machine Learning Platform",No,Brooklyn, NY,Medium,Public,Retail & Wholesale,Other Retail Stores,2005,$1 to $5 billion (USD),0,4.5,1,1,0,0,0,1,machine learning engineer,Senior,588,17
Moderna Therapeutics,"Scientist, Machine Learning",No,Cambridge, MA,Medium,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2011,$10+ billion (USD),0,3.7,1,0,0,1,1,1,machine learning engineer,Senior,716,11
Doctor Evidence,Scientific Literature Annotator,No,Santa Monica, CA,Small,Private,Information Technology,Enterprise Software & Network Solutions,2004,Less than $1 million (USD),0,3,0,0,0,0,0,1,other,mid,204,18
Broad Institute,Postdoc - Applied Machine Learning,No,Cambridge, MA,Medium,Nonprofit Organization,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2004,$100 to $500 million (USD),0,4.4,1,0,0,0,1,1,machine learning engineer,Senior,565,18
Barclays,Electronic Trading Associate - Expert Graduate Programme - 2023,No,New York, NY,Large,Public,Financial Services,Banking & Lending,1690,$10+ billion (USD),0,4,1,0,0,0,0,1,other,junior,355,332
Mobica,Machine Learning Researcher,No,Myrtle Point, OR,Small,Private,Information Technology,Computer Hardware Development,2004,$25 to $100 million (USD),0,3.9,1,1,0,0,0,1,machine learning engineer,Senior,568,18
NXP Semiconductors,Machine Learning Software Engineer (Entry Level),No,Austin, TX,Large,Public,Manufacturing,Electronics Manufacturing,2006,$5 to $10 billion (USD),0,4,0,0,0,0,0,0,machine learning engineer,junior,104,16
Booz Allen Hamilton,Machine Learning Software Engineer,No,Doral, FL,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,0,1,machine learning engineer,Senior,418,108
Expedition Technology Inc,Machine Learning Operations Engineer,No,Washington, VA,Small,Private,Aerospace & Defense,Aerospace & Defense,2013,$5 to $25 million (USD),0,4.8,1,0,0,1,0,1,machine learning engineer,Senior,610,9
Etsy,"Staff Software Engineer I, Machine Learning Platform",No,Brooklyn, NY,Medium,Public,Retail & Wholesale,Other Retail Stores,2005,$1 to $5 billion (USD),0,4.5,1,1,0,0,0,1,machine learning engineer,Senior,588,17
Mobica,Machine Learning Researcher,No,Myrtle Point, OR,Small,Private,Information Technology,Computer Hardware Development,2004,$25 to $100 million (USD),0,3.9,1,1,0,0,0,1,machine learning engineer,Senior,568,18
NXP Semiconductors,Machine Learning Software Engineer (Entry Level),No,Austin, TX,Large,Public,Manufacturing,Electronics Manufacturing,2006,$5 to $10 billion (USD),0,4,0,0,0,0,0,0,machine learning engineer,junior,104,16
Booz Allen Hamilton,Machine Learning Software Engineer,No,Doral, FL,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,0,1,machine learning engineer,Senior,416,108
John Deere,Data Wrangler,No,Moline, IL,Large,Public,Manufacturing,Machinery Manufacturing,1837,$10+ billion (USD),0,4.1,1,0,1,1,0,1,other,mid,522,185
Meta,AI Residency Program (University Grad),No,New York, NY,Large,Public,Information Technology,Internet & Web Services,2004,$10+ billion (USD),0,4.1,1,0,0,0,0,1,other,mid,460,18
Diffbot,Machine Learning Engineer,No,Menlo Park, CA,Small,Private,Information Technology,Information Technology Support Services,2011,Unknown / Non-Applicable,0,4.7,0,0,0,0,0,1,machine learning engineer,Senior,186,11
Measured,"SVP, Engineering",No,Chicago, IL,Small,Private,Information Technology,Enterprise Software & Network Solutions,2017,Unknown / Non-Applicable,0,4.9,0,0,0,0,1,1,other,Senior,387,5
McDonald's Corporation,Machine Learning Ops Engineer,No,Chicago, IL,Large,Public,Restaurants & Food Service,Restaurants & Cafes,1955,$10+ billion (USD),0,3.5,1,0,0,1,1,1,machine learning engineer,Senior,531,67
MIT Lincoln Laboratory,Autonomous Systems Developer artificial intelligence and machine learning,No,Lexington, MA,Medium,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,1951,Unknown / Non-Applicable,0,4.3,1,0,0,1,1,1,machine learning engineer,mid,359,71
IBM,Postdoctoral Researcher,No,San Jose, CA,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.2,0,0,0,1,1,1,other,Senior,647,111
Datatron Technologies,Head of Machine Learning Engineer,Yes,Remote,,Small,Private,Information Technology,Computer Hardware Development,2016,Unknown / Non-Applicable,0,4.3,1,0,1,1,0,1,machine learning engineer,mid,428,6
Deloitte,Machine Learning and AI Data Scientist - Python / R / NLP,No,Rosslyn, VA,Large,Private,Financial Services,Accounting & Tax,1850,$10+ billion (USD),0,4,1,1,0,0,0,1,data scientist,Senior,317,172
Koo Lab at Cold Spring Harbor Laborator,Postdoc in Machine Learning in Genomics – Koo Lab,No,Cold Spring Harbor, NY,,,,,,,0,,1,0,0,0,0,1,machine learning engineer,Senior,396,
Brookhaven National Laboratory,Research Scientist for Machine Learning,No,Upton, NY,Medium,Government,Government & Public Administration,National Agencies,1947,$500 million to $1 billion (USD),0,3.6,1,0,0,0,1,1,machine learning engineer,junior,673,75
Genmab,"Senior Scientist, Pharmacology, Machine Learning",No,Princeton, NJ,Medium,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1999,$1 to $5 billion (USD),0,4,1,0,0,0,1,1,machine learning engineer,Senior,506,23
Saildrone,Senior Software Engineer - Machine Learning,No,Alameda, CA,Small,Private,Information Technology,Computer Hardware Development,2016,$5 to $25 million (USD),0,3.5,1,0,0,0,1,1,machine learning engineer,Senior,761,6
Bloomberg,Applied Machine Learning Scientist - Data Technologies,No,New York, NY,Large,Private,Information Technology,Computer Hardware Development,1981,Unknown / Non-Applicable,0,4.1,1,1,0,0,0,1,data scientist,mid,461,41
Deloitte,Machine Learning and AI Data Scientist - Python / R / NLP,No,Rosslyn, VA,Large,Private,Financial Services,Accounting & Tax,1850,$10+ billion (USD),0,4,1,1,0,0,0,1,data scientist,Senior,319,172
Genmab,"Senior Scientist, Pharmacology, Machine Learning",No,Princeton, NJ,Medium,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1999,$1 to $5 billion (USD),0,4,1,0,0,0,1,1,machine learning engineer,Senior,506,23
Bloomberg,Applied Machine Learning Scientist - Data Technologies,No,New York, NY,Large,Private,Information Technology,Computer Hardware Development,1981,Unknown / Non-Applicable,0,4.1,1,1,0,0,0,1,data scientist,mid,459,41
California State University,Machine Learning Researcher,No,San Francisco, CA,Large,College / University,Education,Colleges & Universities,1962,$10+ billion (USD),0,4.1,0,0,0,0,0,1,machine learning engineer,Senior,884,60
