company,job title,Remote?,location,state,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,description_len,company_age
Yelp,Data Scientist (Remote),Yes,Remote,,Medium,Public,Information Technology,Internet & Web Services,2004,$500 million to $1 billion (USD),0,3.5,1,0,0,0,0,1,data scientist,Senior,520,18
Waymo,Data Scientist,No,Mountain View, CA,Unknown,Private,Information Technology,Computer Hardware Development,2009,Unknown / Non-Applicable,0,4,1,0,0,0,1,1,data scientist,mid,587,13
Zenotis Technologies INC,Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,1,0,0,1,0,1,data scientist,Senior,262,
HERSHEY MX,Data Scientist Co-Op (Spring 2023),No,Hershey, PA,Large,Public,Manufacturing,Food & Beverage Manufacturing,1894,$5 to $10 billion (USD),0,3.9,1,0,0,0,1,1,data scientist,Senior,348,128
mpathic.ai,Data Scientist,Yes,Remote,,Unknown,Unknown,Telecommunications,Telecommunications Services,,Unknown / Non-Applicable,0,5,1,0,0,1,0,1,data scientist,Senior,548,
Data Tecnica,Open opportunity: biomedical data scientist!,No,Glen Echo, MD,Unknown,Private,,,,Unknown / Non-Applicable,0,5,1,0,0,0,0,1,data scientist,mid,240,
Liberty Mutual Insurance,Data Scientist - US Design,Yes,Remote,,Large,Private,Insurance,Insurance Carriers,1912,$10+ billion (USD),0,3.9,1,0,0,0,1,1,data scientist,mid,452,110
Apptrics LLC,Data Scientist,Yes,Remote,,Unknown,Public,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,1,5,1,0,0,0,0,1,data scientist,Senior,193,
InspiHER Tech,MACHINE LEARNING DATA SCIENTIST - PYTHON AND R,Yes,Remote,,Small,Private,Information Technology,Information Technology Support Services,,Less than $1 million (USD),0,,1,0,0,0,1,1,data scientist,Senior,196,
BASF Corporation,"Data Scientist, Machine Learning",No,Morrisville, NC,Small,Private,Human Resources & Staffing,HR Consulting,1999,$25 to $100 million (USD),1,4.1,1,0,0,0,1,1,data scientist,junior,303,23
US Department of Energy - Agency Wide,Data Scientist,No,Wallops Island, VA,Large,Government,Government & Public Administration,National Agencies,1977,Unknown / Non-Applicable,0,4.1,1,0,0,1,0,1,data scientist,Senior,2781,45
OPENMIND TECHNOLOGIES INC,"(Machine Learning / Python) Data Scientist :: San Francisco, CA, Remote",Yes,Remote,,Unknown,Private Practice / Firm,Information Technology,Enterprise Software & Network Solutions,,Unknown / Non-Applicable,1,4.2,1,1,0,0,1,1,data scientist,mid,68,
Johnson & Johnson,Data Scientist co op (Spring/Summer 2023),No,Raritan, NJ,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1887,$10+ billion (USD),0,4.2,1,0,0,0,1,1,data scientist,mid,445,135
Anno.Ai,Retail Data Scientist,No,Washington, DC,Small,Private,,,,Unknown / Non-Applicable,0,2,1,1,0,0,1,1,data scientist,Senior,686,
Activision,Data Scientist,No,Santa Monica, CA,Medium,Subsidiary or Business Segment,Media & Communication,Video Game Publishing,1979,$500 million to $1 billion (USD),0,3.5,1,1,0,0,0,0,data scientist,Senior,623,43
Netflix,Data Scientist 5 - Experimentation & Causal Inference,No,Los Gatos, CA,Medium,Public,Information Technology,Internet & Web Services,1997,$5 to $10 billion (USD),0,4.3,1,0,0,0,0,1,data scientist,Senior,376,25
PLAXONIC,Data Scientist,No,Edison, NJ,Small,Private,Information Technology,Information Technology Support Services,2013,$1 to $5 million (USD),0,4.6,1,0,0,0,0,1,data scientist,Senior,375,9
FullStack Labs,Data Scientist - Remote - USA,No,Jacksonville, FL,Small,Private,Information Technology,Internet & Web Services,2013,Unknown / Non-Applicable,0,4.7,0,0,1,1,0,0,data scientist,Senior,380,9
Corteva Agriscience,"Data Scientist, Breeder Analyst (MS/PHD)",No,Des Moines, IA,Large,Public,Agriculture,Farm Support,2019,Unknown / Non-Applicable,0,4,1,0,0,1,0,1,data analyst,Senior,524,3
Ford Motor Company,Data Scientist,No,Dearborn, MI,Large,Public,Manufacturing,Transportation Equipment Manufacturing,1903,$10+ billion (USD),0,4.1,1,0,0,0,1,0,data scientist,Senior,322,119
"Amazon Web Services, Inc.","Data Scientist, BDSI Solutions Prototyping",Yes,Remote,,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,1,0,0,data scientist,Senior,759,28
"Amazon Web Services, Inc.","Data Scientist, BDSI Solutions Prototyping",Yes,Remote,,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,1,0,0,data scientist,Senior,759,28
Allstate,Lead Climate Data Scientist,Yes,Remote,,Large,Public,Insurance,Insurance Agencies & Brokerages,1931,$10+ billion (USD),0,3.5,1,1,0,1,1,1,data scientist,Senior,957,91
Acquisition Solution,Data Scientist,No,Arlington, VA,Large,Public,Management & Consulting,Business Consulting,1989,$10+ billion (USD),0,4.1,1,0,0,0,0,1,data scientist,Senior,447,33
UC San Diego,Atmospheric Data Scientist,No,San Diego, CA,Large,College / University,Education,Colleges & Universities,1960,Unknown / Non-Applicable,0,4.2,1,0,0,0,1,0,data scientist,junior,533,62
Veracity Software,Jr Data Scientist,No,Iselin, NJ,Small,Private,Information Technology,Information Technology Support Services,2010,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,junior,137,12
Alldus International Consulting Ltd,Sr. Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,4.7,1,0,0,0,0,0,data scientist,Senior,166,
Northbeam,Data Scientist,No,Denver, CO,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,0,0,1,data scientist,mid,205,
Radiant,Data scientist/Image Analytics,Yes,Remote,,Small,Private,Information Technology,Enterprise Software & Network Solutions,2000,Unknown / Non-Applicable,1,3.7,0,0,0,0,0,0,data scientist,mid,91,22
Twitch,"Data Scientist, Analytics - Trust & Safety",No,San Francisco, CA,Medium,Subsidiary or Business Segment,Information Technology,Internet & Web Services,2011,Unknown / Non-Applicable,0,4,1,0,0,0,1,0,data scientist,Senior,712,11
Match Inc,Data Scientist,Yes,Remote,,Small,Private,Media & Communication,Advertising & Public Relations,,$1 to $5 million (USD),1,3,1,0,0,0,1,1,data scientist,Senior,317,
IBM,Data Scientist,No,Monroe, LA,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,0,1,1,0,1,data scientist,Senior,736,111
MIT Lincoln Laboratory,Associate Staff Member - Data Scientist/Biomedical Engineer,No,Lexington, MA,Medium,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,1951,Unknown / Non-Applicable,0,4.3,0,0,0,0,0,0,data scientist,junior,246,71
"JPMorgan Chase Bank, N.A.",Data Scientist,No,Plano, TX,Large,Public,Financial Services,Banking & Lending,1799,$10+ billion (USD),0,3.8,0,0,0,0,1,1,data scientist,Senior,528,223
SAIF,Data Scientist,Yes,Remote,,Small,Nonprofit Organization,Insurance,Insurance Carriers,1914,$500 million to $1 billion (USD),0,3.6,1,0,0,0,0,1,data scientist,mid,211,108
Stanford Health Care,Data Scientist - AI/ML,No,Palo Alto, CA,Large,Hospital,Healthcare,Health Care Services & Hospitals,1957,$1 to $5 billion (USD),0,4,1,0,0,0,1,1,data scientist,Senior,529,65
Core Alliance Group Inc,Data Scientist ! Remote_ Looking for W2 Consultants,Yes,Remote,,,,,,,,1,,0,1,0,0,0,0,data scientist,Senior,122,
Ibotta,Staff Data Scientist,No,Denver, CO,Small,Private,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable,0,3.8,1,1,0,0,1,1,data scientist,Senior,688,10
